subject,content,copy_recipient,recipient,sender
[新聞] 蒙古3900億煤礦疑全被官員A走　民眾怒闖, 蒙古3900億煤礦疑全被官員A走　民眾怒闖國家宮抗議  編輯 周子馨 報導 發佈時間：2022/12/06 11:29 最後更新時間：2022/12/06 11:29  蒙古首都烏蘭巴托（Ulaanbaatar）的政府大樓「國家宮」，近日爆發大規模示威抗議行 動。大批示威人群聚集在廣場前，要求政府交出涉嫌在過去2年內，違法挪用　價值128億 美元（約3905億新台幣）煤炭的官員姓名。抗議場面一度失控，5日還傳出有示威者試圖 衝進警戒線占領國家宮。  綜合多家外媒報導，蒙古日前有爆料指出，一批價值高達128億美元的煤炭在過去2年期間 ，原本應該出口銷往中國大陸，但是卻在政府官員的監守自盜下憑空消失。消息傳出後， 引爆民眾怒火，不顧-21度的低溫走上烏蘭巴托市中心的「成吉思汗廣場」抗議，要政府 公開腐敗官員的身分，並要求解散國會。  報導指出，蒙古的經濟嚴重仰賴中國大陸，86％的出口商品都是銷往中國，其中煤炭就占 總量的一半以上，而採礦業也占了該國GDP的1／4。過去幾年間，中國大陸為了防疫關閉 邊境，加上烏俄戰爭爆發衝擊貿易，蒙古境內的通膨率已經飆升至15.2％。民眾生活苦不 堪言，民怨積累之下又傳出政府官員帶頭貪汙，才會引爆這場大規模抗議。  據悉，蒙古警方5日晚間9點曾試圖驅散示威群眾，結果抗議進一步升級，數十名示威者欲 強行闖進國家宮，一路上撞倒封鎖障礙物，還打破玻璃。直到幾小時後，警方再度介入， 多數示威者才離開成吉思汗廣場。  此前，蒙古反貪腐機構曾在11月宣布，包含國有煤礦公司「Erdenes Tavan Tolgoi」執行 長在內的30多名官員，已經因涉嫌貪汙被移送調查。蒙古政府內閣也於5日在記者會中表 示，當局已進行3次內部討論，關於煤炭遭竊的案件，也已經啟動了10起刑事調查，分別 涉及合約、運輸和鐵路3個項目。  ,吳軍、Derek871,陳亮生,Willy
 若台灣有周休三日會是哪間公司先行,假若台灣有周休三日實驗  那會是從私人企業先行嗎？  我看國外好像都是私人企業開始，沒有公部門的感覺  那台灣哪間公司有可能先實施周休三日  中華電信？還是台積電、聯發科？鴻海？  還是其他公司  -- ,曾啟傑,信浅野,Kevin Chen
 20幾歲法官罵人這麼兇喔？,小弟當年替代役在某地檢署當  不得不說法官跟檢察官是真的很忙的職業  尤其是二十幾歲的法官檢察官基本上都是剛當上的菜鳥  這時候不夠老 經驗不夠 也不夠油  薪水又是最少的時刻(最低等的檢察官月薪我記得是九萬多 扣了保險會更少)  我剛好在人事部 可以看他們的出勤紀錄  真的有些檢察官平日加到半夜 假日也來加  不在辦公室的時後就是出公差 只有難得偷閒放假出國爽一波  反正二十幾歲的法官檢察官真的是甜蜜點很低的  不過升到主任檢察官或是檢察長就非常舒服歡樂了 嘻嘻   -- ,Su To,鉙羊默,吳軍
 真的有人薪水不到4萬、沒房子、沒存款？,就沒有用的人像是我阿肥阿＝.＝  好吃懶做  高難度的我都不會  也不想做苦工  領3萬的生活  宛如行屍走肉ㄅ＝.＝  每天起床早餐就在想早餐怎樣吃  才會比較飽  中午吃自助餐  別人三菜一主餐  阿肥我選兩個菜+n碗粥  加上一個主餐  外加不用錢的菜脯多吃點  =.=  以前這樣可能要85現在100了  ,嵛燼、梁升豪,Kai,張義烽
[新聞] 俄軍新一波空襲！ 摩爾多瓦邊境「飛彈碎,俄軍新一波空襲！ 摩爾多瓦邊境「飛彈碎片落下」疑遭波及  記者陳宛貞／綜合外電報導  烏克蘭聲稱，俄羅斯5日發動新一波空襲。鄰國摩爾多瓦警方卻在靠近烏國邊境的北部地 區發現飛彈碎片，疑似是俄軍攻擊落下，現已封鎖該區域，並在邊境加強巡邏。   《路透社》援引摩爾多瓦國家資訊入口網站Prima Sursa指出，該國警方5日在靠近烏克蘭 邊境的北部城市布里切尼（Briceni）發現有飛彈碎片掉落。此前，俄羅斯才剛發動對烏 國的新一波飛彈攻擊，摩爾多瓦當局則未立即對此事公開發表評論。  烏克蘭外交部發言人尼柯蘭科（Oleg Nikolenko）聲明回應相關報導，再度呼籲盟友提供 更多飛彈防禦系統，「這再度證明俄國的飛彈恐怖行為不僅危及烏克蘭安全，也對鄰國安 全構成龐大威脅。」俄國目前則尚未回應此事。  事實上，摩爾多瓦已經不是第一次遭烏俄戰火波及，俄國此前於10月31日發動空襲，摩爾 多瓦內政部當時也指出，烏軍防空部隊攔截其中一枚飛彈，碎片落在該國北部一座村莊， 俄摩因此各驅逐一名外交官。  ,蔡光宇、點點、點點,湯小雨,黑色睡蓮
 網球乒乓球籃球，有運動員不彈球的嗎?,網球 乒乓球 籃球  這3種球類都有彈性  網球:幾乎每個選手發球前都會彈地板幾下  乒乓球:幾乎每個選手發球前都會在桌上彈幾下  籃球:幾乎每個選手罰球前都會彈地板幾下  選手為什麼都要彈幾下球?   原因何在?  -- ,思辰葉、夜狼,威翔王,神奇鹿
[新聞] 解封後不見觀光客？網：觀光問題是沒文,解封後不見觀光客？網：觀光問題是沒文化 首推「這一項」 華視 柯芷筠 台灣10月13日開放邊境，根據交通部觀光局統計，10月來台旅客人數為9萬3206人次，若與 出境旅客相比，呈現觀光逆差。國境雖開放，但國外旅客卻不如預期，尤其過去最愛來台灣 旅遊的日本客人氣並沒有回流，對此，就有網友發文討論「台灣觀光問題」。  解封後現「觀光逆差」 觀光問題是沒文化？  原po發文表示，「台灣觀光的地方，清一色就是一直吃、風景，產香菇就炸香菇，產金針花 就炸金針花，其他觀光景點不是文化感薄弱，不然就是花錢蓋的大型建築物，配合醜爛的鐵 皮屋跟街容，還有垃圾交通。」原po認為，,凱,Craig,Rafina
[新聞] 被150年古神器刺穿！ 男「脖子插30cm三叉,1.媒體來源:東森新聞雲 2.記者李振慧  3.完整新聞標題: 被150年古神器刺穿！　男「脖子插30cm三叉戟」淡定就醫畫面曝光  4.完整新聞內文: ,Lucifer,Rry La,以翔旋風
 ig的網美 小模  為何喜歡一個人出國,我看IG的限動  之前追蹤的小模去日本散心  看他一個人拖行李 一個人吃拉麵 還要拍照  感覺好辛苦喔  出國玩一般都會結伴 交換故行李之類的吧  為什麼網美總是一個人??  -- ,Neal,高皓愷,Lai Jim
 日本無現金支付用什麼比較好?,唯一推薦paypay！ 日本行動支付大概10幾種 但幾乎到處都能用的就是paypay了  順帶一提，雖然不是在paypay工作 但現在工作的其中一項是寫送paypay點數的程式><  歡迎大家用paypay～～  -- ,林鴻恩,哈酷那羊馬它它,27嚴承翰
 為何民權西路承德路天橋不拆還加裝電梯,台北市的行人天橋幾乎都拆光了沒剩下幾座， 真的沒什麼人愛走天橋。 但剛剛經過民權西路站旁邊的民權西路承德路口天橋， 發現不但沒有要拆，四角都在施工要加裝電梯， 過馬路大家幾乎都走地面斑馬線，為何這座天橋 卻是加裝電梯？  -- ,沖田瓦,火龍果,黑色睡蓮
[新聞] 貨車併排卸貨！女騎士閃避遭輾慘死　違停,這就是台灣遍地店面透天住宅的濫觴啊  若今天要開店  你要提供固定的來客車位證明、卸貨車輛證明  就能減少貨車跟顧客車輛通通並排在路上  你顧客跟卸貨要從停車場走到店家要舒適的通道  建設人行道阻力也不會這麼大了   但太難了  現在讓大家違停在路邊又不用付什麼成本  -- ,,cjmwwuh,HCKY
 短視頻帶來什麼改變？,tiktok藉由短視頻結合社交在世界爆紅  在美國甚至有超過半數的人都在使用  是因為短視頻為生活帶來什麼改變嗎？  -- ,凱、零。。、Amano Kazuhira,魆影吳,盧仕其
[新聞] 「十倍券」趕農曆年前上路?主計總處:沒,「十倍券」趕農曆年前上路？　主計總處：沒規劃 ettoday 記者廖婕妤／台北報導 ,Paul Chen、Moxingames、lin amis,Hsin Yen Hsieh,哈酷那羊馬它它
 台積老闆們是不是覺得自己比白人卑賤？,前幾天看到新聞的爆料，tsmc在AZ廠的美國人不想輪班，副理管不動只好要求副理下去輪班 。  這個現象是不是隱含一件事情，台灣人在台積裡頭起嘛比白人低四階（白人工程師>台人副理 >台人主任工程師>台人資深工程師>台人工程師）  我還以為外商通常給台灣人薪水比較低，是因為我們是分公司，當然地位就低一點。  沒想到t(aiwan)smc主管們，看到羊腸也如此的卑躬屈膝，要不要把公司改名成asmc算了？有 夠卑賤的餒。  -- ,阿契爾、張義烽,大溪消防分隊桃園市政府,海陽
 我很愛老婆，但沒辦法拿她來打手槍,我朋友啦，  跟一個已經結婚的同事聊到性癖好跟喜歡的差異，  他同事覺得性癖好跟喜歡是完全不同的東西，  但我朋友覺得喜歡的一定會符合自己的性癖好，  結果他同事卻解釋說，「我很愛老婆，但沒辦法拿她來打手槍」。   我跟我朋友都是單身肥宅，  「我很愛老婆，但沒辦法拿她來打手槍」是什麼概念？  -- ,威翔王,曾啟傑,香酥派
 有沒有罌粟籽的八卦,罌粟籽在國外是很普遍的香料 像是美國的Trader Joe's的招牌香料Everything But The Bagel裡面就有罌粟籽 但在台灣似乎是二級毒品 感覺如果不知情就裝進行李飛回台灣的話會很慘耶 機場真的有人因為帶罌粟籽吃上刑責嗎  -- ,蔡林翰,diamonddevil,大便片供應商
 護國神山 護國輪班,請各位台GG員工不要再抱怨去美國還要輪班了  你各位黃猴子就是該被奴役  為了護國神山  好好護國輪班  #相忍為國  -- ,黃彥彰,人類惡,cjmwwuh
 明年二月到底在幹嘛 四個禮拜六 兩個補班,公共政策網路參與平台有關於這件事的議題(雖然標題不明確) ,planet ET,香酥派,陳韋作
 空污憑什麼收稅?,嗨您好本魯失業九年自耕農  就很雞巴呀  都市人大企業拼命製造空污  鄉下人種田綠化環境 吸收二氧化碳 卻還要幫忙吸廢氣沒補助  可是原住民就不一樣  原住民保留地  還有不砍伐獎勵金  一公頃一年2萬  申請後現場看過 每年都能領  但一般民眾 一樣沒砍伐  什麼屁都沒  雙標太嚴重了啦 原住民補助也未免太多惹  根本當成寶  難怪一堆本來都改漢姓的 只要父母之一有原民身份  都去回復原民身份  爽翻  ,morenove、ININ!、HCKY,Lai Jim,神奇鹿
 想交往這種胸部等級的台女 月薪要多少,台女胸部小 奶大的不知道100個有沒有10個 如果想認識這種胸部等級的台女 月薪要多少才夠 ,黑雅、﻿張伯潤,Derong Hong,蝦皮
 ＝.＝ 月薪10萬是什麼感覺？怎麼過？,我阿肥啦＝.＝  有個問題是  請問這邊的高薪族群  你們假設一個月10萬元薪水  你們的生活長什麼樣子  會有怎樣的活動  有怎樣的規劃阿？  大概說一下八卦好嗎  讓我們聞一下香   -- ,,Kevin Chu,Lai Jim
[新聞] 4醉漢酒吧看世足與鄰桌口角 還嗆警全上銬,1.媒體來源: 自由時報  2.記者署名: 吳仁捷  3.完整新聞標題: 4醉漢酒吧看世足與鄰桌口角 還嗆警全上銬法辦  4.完整新聞內文: ,coffee hao,lin amis,嚴威
 通常都怎麼打破階級複製的,創業、讀書、嫁入豪門or娶到有錢老婆  1.創業這就有倖存者偏差了 大部分的人還是欠了一屁股債 後來老老實實工作還債  2.讀書就要先天老爸老媽給你一顆好的頭腦 然後很上進或是真的天資聰穎 成為了醫師、工程師或是很會理財投資 不過要先經歷大學同儕都跟你不同世界的辛苦 人家出國玩的時候你要打工賺錢  3.婚姻的話就是少奮鬥很多年了 不過也要運氣好認識有錢的小孩  怎麼看每一個都有滿滿的運氣成分 成功打破階級複製的人其實都是天選之人 真的慘  -- ,湯小雨,Draz,HE HE
 被黑道槍殺跟被中國公安打死哪個機率高?,大家都知道現在台灣黑道很多常常有人挨槍  而隔壁阿共的公安也很兇會打人  如果統一後很有可能被公安打  那以一個在台灣本土出生長大的人來說  被黑道槍殺的機率高還是被統一後的阿共公安打死的機率高?  -- ,Kobe,菜G一只,Hsin Yen Hsieh
 最強掌機是哪一台？,智慧型手機出來之後 掌上型遊樂器的市場直接被重擊 老任現在可能用NS觀望要不要繼續走純掌機吧？  魯魯最近查了一下舊掌機 似乎有一部分玩家也沒放棄繼續玩著舊掌機 現在可以把外殼翻新、改新款螢幕 改善老掌機的缺點 而且現在也有很多開源掌機在流通  八卦應該都是六七年級老人吧 剛好經歷過掌機的黃金年代 心中最強的是哪一台掌機？  -- ,人類惡,chiu chiu,chiu chiu
 政治獻金算是一種保護費嗎？, 現在已經不流行收保護費了，還記得以前曾聽過登門賣茶葉，這種變相收取的手法  這讓我想到，政治獻金算不算一種變相的保護費？   ----- Sent from JPTT on my iPhone  -- ,YES MY余、威翔王,巧虎,謝恵琪
 誰會娶一個威脅人家性命的奶妹?,我朋友醫生啦 娶一個學店大奶網紅 還威脅人家生命 請問到底有哪個醫生會北七到娶這種女人??  -- ,,Brendan Wang,Amano Kazuhira
[新聞] 硬舉百公斤突漏尿！正妹遭罵翻哭喊：忍不, 1.媒體來源: TVBS新聞網  2.記者署名: 輯 樓冠陞 報導  3.完整新聞標題: 硬舉百公斤突漏尿！正妹遭罵翻哭喊：忍不住　健身前輩幫喊冤  4.完整新聞內文:  ,,魔王子,Mars
[新聞] 台積電帶動鳳凰城房地產飆漲 小台北可,台積電帶動鳳凰城房地產飆漲 小台北可望成形  （中央社記者林宏翰鳳凰城5日專電）台積電在美國亞利桑那州設廠，刺激大鳳凰城地區經 濟及房市，在地居民樂見房價上漲，歡迎台積電員工入住。房地產業者預期一年內「小台北 」可望成形。  台灣的全球半導體龍頭「台灣積體電路製造」（TSMC）斥資120億美元在亞利桑那鳳凰城設 立的晶圓廠正在興建當中，預計2024年量產，6日將舉行首批機台進廠的移機典禮，美國總 統拜登將親自出席。  影片／台積電美國亞利桑那州廠區外觀搶先看 中央社記者今天走訪台積電廠區周邊，10幾分鐘車程左右的社區，有剛剛興建完成、台積電 員工已經入住的公寓，也有建商和投資人看好、正在施工的住宅區。台積電與相關協力廠商 員工入住的「台積村」儼然成形。  一名台積電林姓工程師帶著妻子與2歲大的女兒，正準備到新家看看居住環境。他與其他同 事前幾天搭乘包機抵達美國，暫時安頓在旅館，近日準備搬進未來3年的住處。  他表示，外派美國是難得的人生經驗，準備讓女兒在當地上幼稚園，「工作內容基本上跟在 台灣一樣」。  房地產業者盧慕向中央社記者表示，現在被稱為「台積村」的公寓住宅，距離廠房和辦公室 不遠，對於台積電員工非常友善，鄰近咖啡店、加油站，約10分鐘車程就有購物中心、超市 賣場、電影院、餐廳等，生活機能不錯。  盧慕表示，台積電進駐鳳凰城之後，帶動當地房地產的蓬勃發展，帶進了大批員工與投資客 ，可以預見未來幾年當地無論是公寓或是獨棟住宅都會越蓋越多。  最近兩三年在COVID-19（2019冠狀病毒疾病）疫情下，在家上班成主流，美國掀起搬出大城 市的潮流，生活負擔較輕的亞利桑那州，成了許多人展開新生活的目的地。  距離台積電廠區10分鐘的聯合公園（Union Park）也是嶄新的社區。退休人員佛萊（Ben Fr ie）與太太正在跟朋友打匹克球（Pickleball），他過去曾在全美500大企業當到銷售副總 ，原本住在勘薩斯市，最近3年才搬到北鳳凰城。  佛萊說，剛搬來的時候，這一帶還什麼都沒有，現在已經變得不一樣，附近蓋起了商場、購 物中心，社區內有大型游泳池還有球場，族裔組成也很多元，一起打球的有不少印度工程師 ，他很歡迎台積電員工加入。  佛萊說：「台積電來當然好，它帶來工作機會，讓這裡的房子價格上漲。越多員工來，我們 房子的價格越好。」  在地深耕30年的北美洲台灣商會總會長張聖儀觀察，不只自用住宅需求增加，台積電周邊協 力廠商約40多家陸續到鳳凰城一帶設置廠房、辦公室，使得商業地產的價格在過去一年內漲 了一倍以上。  張聖儀說，過去30年，鳳凰城地區的亞裔、台僑族群大多居住在南邊，靠近英特爾（Intel ）園區。台積電進駐北鳳凰城，不只帶動周邊產業，台灣美食也陸續攻占當地，包括餐飲連 鎖集團85度C、歇腳亭、大苑子都在鳳凰城插旗。  亞利桑那州長杜希（Doug Ducey）8月底訪台時，稱鳳凰城的「小台北」逐漸成形。張聖儀 說，各家廠商陸續到位之後，一年之內「小台北」會更有規模。  除了房地產、餐飲業欣欣向榮，來自台灣的金融服務業也在今年6月擴大版圖。台灣銀行6月 21日設立鳳凰城代表人辦事處，曾任財政部長的台銀董事長呂桔誠親自赴美主持開幕酒會。  挾著台積電的周邊效應，台銀在這裡設立辦事處，服務台積電及上下游廠商，成為第一個在 亞利桑那州設立據點的外國金融機構。當時鳳凰城市長加勒戈（Kate Gallego）、亞利桑那 州主計長余艷芬（Kimberly Yee）等地方政要出席，可見當地對台資半導體產業鏈的重視。 （編輯：周永捷）  ,Ti an,阿舜,HCKY
